Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
DEC alternative conversion factor (LCU per US$),6.9398,8.6092,10.5407,7.5647,6.4597,6.3593,6.7715,7.0454,8.2612,8.4737,7.3212,7.2611,8.21,9.6551,10.8527,12.8819
Terms of trade adjustment (constant LCU),-4960339030.67467,-2776993422.82904,-2935377025.33225,-6578669767.99339,-7497102343.25076,-5475799725.93512,-3254683825.53776,-2474153344.82262,1711842572.22932,1571021577.97971,14445.8435287476,1248840364.65826,4397950784.02667,5503950368.2735,6208527111.69412,7630844184.14513
Net secondary income (Net current transfers from abroad) (constant LCU),2094609353.12237,1899269182.47531,1658051379.86529,1849435815.53204,2250957152.03701,2280483917.35775,3270170029.95506,3826463835.96414,10548066635.0819,10565006357.0201,8887906262.76835,8014229265.03682,11630746903.4939,11220225532.8144,,
Net secondary income (Net current transfers from abroad) (current LCU),3013868900,2984747000,2901852600,3466961400,4310412000,4261000000,6427000000,7051743200,10060391600,10038876900,8894437700,8337000000,12974054300,15212277900,18792043900,18962754100
Net secondary income (Net current transfers from abroad) (current US$),434287573.128909,346692724.062631,275299799.823541,458307850.939231,667277427.744323,670042300.253172,949125009.229861,1000900332.1316,1217788166.36808,1184709973.21123,1214887955.52642,1148173141.81047,1580274579.78076,1575569170.69735,1731554719.10216,1472046367.38369
Taxes less subsidies on products (constant LCU),4053112800,3758827000,4429634900,3549569000,4880692100,5166366600,5378533300,5639280600,5740783500,6198499200,6201500100,6528816000,7107638100,7926868700,8248212900,9279697300
Taxes less subsidies on products (current LCU),2421055000,2353169900,3038561300,2505894100,3502314200,3863723200,4133477400,4521895500,5137392400,5920068700,6201550400,6805016000,7744916100,9402534200,10360985400,11643706100
Taxes less subsidies on products (current US$),348865241.07323,273332005.296659,288269403.360308,331261530.529962,542179079.523817,607570518.767789,610422712.840582,641822394.754024,621869994.673897,698640346.011778,847067475.277277,937188029.361942,943351534.713764,973841203.094738,954691956.840233,903881112.258285
Net primary income (Net income from abroad) (constant LCU),,,,,,,,,,,,,,,,
Net primary income (Net income from abroad) (current LCU),748679700,595795900,1258206900,2634325800,1355440500,174932200,622002100,-1143959500,-1144403400,-1418241100,-3168689000,-2428802000,-4279004200,-829581900,-287749900,-682436200
Net primary income (Net income from abroad) (current US$),107882028.300527,69204560.237885,119366541.121557,348239295.675969,209830255.275013,27508090.5131068,91855881.2670752,-162369702.217049,-138527502.057812,-167369755.832753,-432810058.460362,-334495048.959524,-521194177.831912,-85921626.9122019,-26514130.1243009,-52976362.1825973
Gross savings (% of GDP),28.2814286913471,22.8472442621453,26.8546007578933,26.6486893693947,30.8867896149449,31.1399729570225,36.2210904347977,28.6160670748109,27.0182736099986,16.9097181527728,17.6185621121192,14.3199139363988,18.3409791605947,19.7556226771751,22.0791255311105,15.0860852634657
Gross savings (% of GNI),27.507417002891,22.4013089985455,25.9104162486673,24.850297661074,29.9180722084939,31.0201501604603,35.8013651462247,29.1576984219362,27.4666069581592,17.2346961583876,18.3214123310139,14.7165919360938,19.1060172822127,19.8899998827601,22.1250055324142,15.1549961057664
Gross savings (current LCU),7524882012.64261,6838060122.54424,9272317234.5499,9700467018.33679,12929738173.3712,14102380665.9484,19217098769.539,17622602396.73,18942648637.6355,12718505967.2872,14552789329.9789,12903325500.4262,19599830697.9662,24258233144.0919,30637760467.6753,22641588066.2889
Gross savings (current US$),1084308195.14145,794273582.045282,879668070.863405,1282333340.16376,2001600410.75765,2217599526.04036,2837938236.65938,2501291963.08656,2292965748.03122,1500938901.22228,1987760111.72744,1777048312.29788,2387311899.87408,2512478704.94266,2823054213.94448,1757627994.80581
"GNI per capita, PPP (constant 2011 international $)",6720.24519138108,6640.74736111211,6965.45277224046,7379.15556927268,7867.56674357661,7732.21268835633,8204.98506438656,8245.80566544791,8323.77412016125,8175.84286545328,8347.65796917892,8718.01685132082,8862.60853408377,9533.64651162139,10011.1611027782,10402.1130303614
Grants and other revenue (% of revenue),9.07505771673824,9.35976754679747,12.1086525441992,11.2580568697382,8.54537695484335,9.04299363138236,10.4333912203607,7.90886111019178,9.95082745637804,7.750374389533,8.4173572019258,9.69978234782858,7.36972491828761,8.56624869629077,6.52946668728414,6.53441473970772
Grants and other revenue (current LCU),745161771.16,832038450.16,1267552450.16,1096610061.16,968293450.16,1182399315.36,1833774532.16,1634726087.62,2331162743.96,1860811469.54,1967168425.08,2901914067.8,2799987824.6,3628256549.87,3261705916.27,3411935051.97
Net lending (+) / net borrowing (-) (% of GDP),-1.36677905628335,-3.30143803273739,-0.800771515290481,-5.73448580109708,-1.76710066767077,0.206148265267021,5.5504727673545,7.28942484718707,3.74632900930765,-0.295569430419918,-4.70087458973038,-6.05677512129193,0.566980430282246,-3.56747322795794,-6.34014274362101,-8.22187746863154
Net lending (+) / net borrowing (-) (current LCU),-363660946.84,-988103050.84,-276489216.469999,-2087426875.28,-739738549.84,93358504.6599998,2944803210.16,4489038813.3,2626570266.06,-222310125.489998,-3882884263.52,-5457612470.3,605895701.93,-4380555283.59,-8797801997.92,-12339606963.98
Net investment in nonfinancial assets (% of GDP),3.45854844766441,3.4341658903305,3.16561644083778,3.13532183534193,2.72372535879423,2.73304954400249,3.10008494034829,3.03795530958682,4.1767130403768,4.82443039643454,4.48559737604444,4.56249734095573,3.29783168965938,4.16245930083794,6.23887100142887,6.04054993333278
Net investment in nonfinancial assets (current LCU),920221156,1027827801,1093019410.23,1141297631.34,1140198000,1237718000,1644750000,1870860813.26,2928314692.72,3628655796.12,3705067031.99,4111155175,3524181682,5111147839.91,8657273815.54,9065814019.73
"Net incurrence of liabilities, total (% of GDP)",1.71698212166621,5.59160838454283,2.50945225277484,4.9126801304235,2.03679211419497,1.27124149998512,-0.798262212352288,-0.89913279409106,1.18396643860532,-0.896370149518893,2.11283795481841,7.69319497811034,-0.408309809849613,2.84756311349957,3.36511501870152,
"Net incurrence of liabilities, total (current LCU)",456840000,1673539000,866460000,1788279000,852636000,575708000,-423518000,-553712000,830084874,-674197464,1745187005,6932150527,-436334564,3496566573.91,4669550329.06,
"Central government debt, total (% of GDP)",,,,,,,,,16.9935714485796,15.8082771032135,16.9449717307022,23.1056935631209,20.6628679154414,23.2558678839255,23.0757673265434,
"Central government debt, total (current LCU)",,,,,,,,,11914279117,11890066105.9677,13996409141.1144,20819977430.1875,22081084621,28556238105.7347,32020735194.5286,
Net acquisition of financial assets (% of GDP),0.0555038787601054,1.32182408121407,0.058462944826666,-1.92023408224596,-0.594985255929443,1.22167326540845,4.46859503127037,1.07682824164752,6.82600974913418,-0.0116924734360851,-2.26157878281561,3.42036105589484,1.23284086691356,-0.428201656126976,-2.48788422509513,
Net acquisition of financial assets (current LCU),14768000,395615000,20186000,-698990000,-249071000,553260000,2370813000,663142000,4785750049.81341,-8794398.09851651,-1868045721.89387,3082004000.10863,1317458138.81924,-525795404.010003,-3452274450.47,
Research and development expenditure (% of GDP),,,,,,,,,,,0.14165,,,,0.33996,
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),,,,,,,,,,,,,,,58.8338966369629,
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",,,,,,,,,,,,,,,42.122859954834,
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",,,,,,,,,,,,,,,71.8798141479492,
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",,,,,,,,,,,,,,,42.9653625488281,
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",,,,,,,,,,,,,,,67.3851623535156,
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",,,,,,,,,,,,,,,61.1233711242676,
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",,,,,,,,,,,,,,,56.7664070129395,
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",,,,,,,,,,,,,,,70.8661346435547,
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",,,,,,,,,,,,,,,40.7007751464844,
Domestic credit to private sector (% of GDP),40.5593466522973,42.1465269700827,41.9365236473605,45.4208210070856,47.0901212510203,51.7533335709361,49.1123261510675,48.2597202280903,46.5989258650933,48.0134611772485,49.1400918608783,49.3202176117221,48.6323497675525,48.4452989628527,49.9258844564603,63.8489454767937
Domestic credit provided by financial sector (% of GDP),43.5787155628979,44.3397061459923,42.3313113024544,47.0239813503099,49.7978661805537,54.2250746580904,53.4360157252405,49.3900289596001,44.3361140589509,44.9556314689516,51.7409103227052,51.4556277622748,49.7456132053902,51.1979658121674,55.5349135073016,55.5131361217972
Claims on other sectors of the domestic economy (% of GDP),,,,,,,,,,,,,,,,66.0114401404742
"Claims on central government, etc. (% GDP)",1.06017369504388,1.40387363434622,-0.322830077159195,1.20765778478759,1.76203334301951,1.71198776967406,0.0408093744925022,-3.76967713143136,-6.53353292098086,-7.06155561485321,-2.08395552842184,-0.614704928244637,-1.22176948928145,0.219399581724878,2.88424731368272,2.00506739269734
"Risk premium on lending (lending rate minus treasury bill rate, %)",5.0141666666666,5.2466666666667,2.835,4.1891666666666,3.6141666666667,3.51916666666667,3.92499999999997,4.29333333333337,4.09833333333337,2.92916666666663,3.26,3.10775916666667,3.10709166666667,2.86449441294872,2.88556646498342,2.86666666666667
Real interest rate (%),4.61815000834979,3.01742976796661,3.40205030139551,13.4104077429106,8.7438631413229,4.82985498862005,1.61516046443263,2.47852922986807,2.54999499437878,3.88493797162249,5.94400657502318,4.74440780709648,-3.74727860187677,-0.466145654082898,2.29722578407499,7.23106289679883
"Interest rate spread (lending rate minus deposit rate, %)",7.8883333333333,7.73750000000003,6.02833333333333,5.9458333333333,5.03750000000003,4.37,4.88249999999997,5.33750000000003,5.35250000000003,4.87666666666663,4.72333333333333,4.4475,4.443125,4.31166666666667,4.45083333333333,4.61083333333334
Lending interest rate (%),15.2783333333333,14.5316666666667,13.8375,14.7008333333333,11.3891666666667,10.61,11.1808333333333,12.8841666666667,13.7366666666667,11.1183333333333,9.72,8.73,8.651875,8.28916666666667,8.69916666666666,9.32416666666667
Deposit interest rate (%),7.39,6.79416666666667,7.80916666666667,8.755,6.35166666666667,6.24,6.29833333333333,7.54666666666667,8.38416666666667,6.24166666666667,4.99666666666667,4.2825,4.20875,3.9775,4.24833333333333,4.71333333333333
Wholesale price index (2010 = 100),,,,,,,,,,,,,,,,
"Inflation, consumer prices (annual %)",,,,7.13615311458628,4.13663213144748,2.28194607024305,4.96116689278762,6.54788141133043,9.09464307167042,9.45172651530943,4.87491987645649,5.00559518081198,6.72199777334885,5.60092502290408,5.34952612752384,3.39566065540328
Consumer price index (2010 = 100),,,62.5734769644356,67.0388160897381,69.8119652966482,71.4050366952945,74.9475597356043,79.8550370677777,87.1175676638422,95.3516819062182,100,105.005595180812,112.064068950758,118.340693430305,124.671359744852,128.904776056265
Broad money growth (annual %),13.200793070497,6.1684978172341,15.3631081189673,2.09480754046804,22.515929441183,5.11406704057886,29.6795338495866,16.1369915271514,13.3026870940647,59.5943982778907,8.72254645609334,11.6086816937688,5.98735215113617,13.7294306555012,6.89892511295404,10.1764379179433
Broad money to total reserves ratio,6.01437021192239,5.70937146182596,3.89985283076014,5.51235593800093,7.45398278222612,8.79927171755184,7.43939002321125,4.16652813387622,2.79009748437645,2.73673727106311,4.16530782899844,4.44859128545401,4.26750478697464,4.76796721123451,5.8208459292351,3.76759485739466
Broad money (% of GDP),40.7604166692114,38.4710063602052,38.470692502304,37.255161592702,39.6897934511733,38.5640322236539,42.6876039369893,42.7108834029878,42.5065398093883,63.2348912565463,62.6037488240677,64.0490738355522,57.239830512677,56.6542590154417,53.5919052883597,54.5924701697651
Broad money (current LCU),10845185000,11514170000,13283104386.1017,13561359858.39,16614826075.37,17464519419.54,22647907372.33,26302598266.08,29801550611.0255,47561605375.1472,51710188499.2582,57713059685.3849,61168543805.9443,69566636610.7613,74365986774.1386,81933795250.2747
Claims on private sector (annual growth as % of broad money),16.2615358199507,16.8051351821108,16.2021881723997,15.4631309867527,23.4413401116502,22.4187568244349,14.9959828962129,16.1745141648075,11.2194643405843,11.5503661803977,9.41176316432558,7.4490719554721,13.0456325752672,12.2880941429126,14.0759441017254,12.887559996808
Net foreign assets (current LCU),2656406733.75241,1176219209.1544,3339771061.44767,824126506.767504,1015610096.98043,419227518.942281,4295634190.18487,8177174092.13654,15734769404.0656,24730505434.2302,19963065090.7692,23507604585.7003,20716951819.7038,23122747166.2433,19511895905.3124,29792084725.5009
Net domestic credit (current LCU),11595054000,13270641000,14616093193.4717,17117336385.16,20846238127.5,24556946325.01,28350477020.87,30415809427.71,31084274395.1649,33813009887.8833,42737572049.0672,46365412305.8485,53159953362.0834,62866770208.6521,77062172377.8114,83315554591.318
Claims on other sectors of the domestic economy (annual growth as % of broad money),,,16.3024385595314,14.6816121566469,25.2989930508143,22.1068604629267,26.0367218577594,19.4651984308538,11.1307700837889,11.6078981117854,11.2161927123722,4.75806722953793,13.0755020297269,13.2940648107156,15.0395723881852,15.9535809918429
Claims on central government (annual growth as % of broad money),-3.99490213700037,1.27328395043515,-4.61725244996638,4.14864859403564,2.19752485946775,0.226856307126048,-4.31536437445154,-10.3458905279819,-8.58932926987149,-2.45154404036707,7.54802285770878,2.25764932858933,-1.30253228375524,2.57490352268693,5.36590193219228,-7.5446530870749
Total reserves minus gold (current US$),259836317.576792,234251046.833656,323133447.622758,325217778.017771,345060355.267101,312104907.411467,449578847.200303,896022010.407354,1292933974.64599,2050927526.8344,1695691125.42722,1786689867.90836,1745866242.29235,1511161812.62397,1177200513.39186,1688180787.14781
Total reserves in months of imports,1.67974626569759,1.48754286759837,2.36940491605242,1.89825022310506,1.50977684354761,1.2289519771009,1.63875565303458,2.65517304583163,3.00743897889147,4.5124470402902,3.14733983752823,3.19382905459259,2.64094185296622,2.50016053362498,1.74798588766038,2.73995845765915
Total reserves (% of total external debt),,,,,,,,,,,,,,,,
"Total reserves (includes gold, current US$)",259836317.576792,234251046.833656,323133447.622758,325217778.017771,345060355.267101,312104907.411467,449578847.200303,896022010.407354,1292933974.64599,2050927526.8344,1695691125.42722,1786689867.90836,1745866242.29235,1511161812.62397,1177200513.39186,1688180787.14781
Bank liquid reserves to bank assets ratio (%),,3.0667751255327,1.75556641596282,3.16127912195057,2.37585579700962,2.47501515763315,2.12874303950796,2.52389759225591,3.89884170221018,5.45441880945027,6.19555552368973,7.56522300836907,6.11089888523341,4.90289344274109,6.21965644929376,5.04831091779699
Domestic credit to private sector by banks (% of GDP),40.5593165851908,42.1465002405789,41.8885899122325,45.3685170376594,47.0576313968792,51.7236909738723,49.0825136572666,48.2314910187926,46.5634711797285,47.9827949496364,49.1120671177054,49.2908437525697,48.5987732318826,48.4126119853507,49.8974403711969,52.5184826331871
"Depositors with commercial banks (per 1,000 adults)",,,,,98.2685402353723,95.5291382266162,140.118484346819,151.38868218478,154.106800533497,168.087088340285,168.303793305755,448.677805283534,655.948642020152,726.080125958587,849.347104910242,893.543853079598
"Borrowers from commercial banks (per 1,000 adults)",,,,,32.6100583241661,31.9452381361149,47.4822679909571,50.8719043200983,50.4675877140113,49.7771905023113,49.5749300269429,150.138200637894,200.942565642964,262.420628480866,249.668426766514,240.037289176384
"Commercial bank branches (per 100,000 adults)",,,,,10.7100603997592,10.709727948384,11.7502476807345,12.4286343068305,12.5986211509074,12.6643987729266,12.7053882056629,12.7491363370784,12.5571367458003,12.5682361999731,13.0410962587515,13.0276441371346
Bank capital to assets ratio (%),,,,,,,,,,,10.7209162003251,10.9152510909001,10.5556110762402,11.1437905794107,11.3384139468154,11.3619459349334
"Automated teller machines (ATMs) (per 100,000 adults)",,,,,,,9.33581322578906,9.73708292828124,29.4745519518142,41.5026080269401,49.1773261136833,50.4865798948306,48.5258843736011,52.0684071141741,54.6516044245616,55.7766472604959
Bank nonperforming loans to total gross loans (%),,,,,,,,,,,1.9647272829344,1.486349269152,1.33735163605377,1.28556139286151,1.23276448193922,1.55139578424719
Terrestrial and marine protected areas (% of total territorial area),,,,,,,,,,,,,,,,
Marine protected areas (% of territorial waters),,,,,,,,,,,,,,,,
Terrestrial protected areas (% of total land area),,,,,,,,,,,,,,,,
Renewable internal freshwater resources per capita (cubic meters),,,3326.99080702751,,,,,3070.00100672111,,,,,2806.65432224766,,2709.56220336672,
"Renewable internal freshwater resources, total (billion cubic meters)",,,6.16,,,,,6.16,,,,,6.16,,6.16,
"Portfolio equity, net inflows (BoP, current US$)",34744312.708861,25914772.6151661,8158647.00441616,3882128.6747626,4533311.55634187,5056697.11442543,4728627.73474162,4522259.44214035,3902020.72899106,6619346.05950852,23517613.9506528,13853569.580172,6625033.75704224,1230040.53595139,12087643.1916369,2077420.07207403
"Foreign direct investment, net inflows (% of GDP)",5.12131157413048,10.9115937081077,4.50398738172799,1.35309575970268,3.44978505622293,5.51518513645741,7.78262825073872,7.6627346927777,8.83464147976031,9.41636897593602,2.54550426895494,6.53923643249422,7.96545957399779,6.19599122951846,3.48807006884157,7.57012494290486
"Foreign direct investment, net inflows (BoP, current US$)",196350763.262587,379336366.387133,147535758.471972,65110887.1077804,223561311.215728,392757950.095606,609772318.540092,669789340.799414,749771454.743487,835814906.94021,287188694.392946,811495035.353755,1036805955.80341,787993184.247365,445987359.98407,881969264.488343
"Travel services (% of service exports, BoP)",64.2523289585384,79.4330929038267,79.5550280523938,80.2220629862088,85.1570358830588,84.5909046947014,72.5408073106754,72.5086747008407,68.9511604861202,63.5624641086565,46.7247001866621,32.6650666366059,55.1816541843469,42.0578407322445,45.2330745445531,52.9748039504931
"Transport services (% of service exports, BoP)",21.5761687873592,13.1985461759005,13.4881423537507,13.0469511993502,5.37318636648406,5.45034501857435,19.3142747738636,20.0098364664932,20.7575909067287,19.760528033312,25.5193725321699,34.4723258848987,16.106727326138,23.891515889056,11.0764566169386,9.48853622666699
"Exports of goods, services and primary income (BoP, current US$)",1611712807.98396,1547939335.23169,1447627716.05755,1861322569.10531,2519829419.94659,2707913405.94583,3428350255.90351,3798009226.02829,4019364020.34557,3988057620.98973,4928200221.66214,5056128639.94727,5433862178.94314,4731136937.41526,5196951116.8065,4399875175.7257
"Charges for the use of intellectual property, receipts (BoP, current US$)",5499936.65594426,4697028.75228133,3808376.19729027,,,,,,,189991.308105968,59344.4094055486,5115892.10617984,484398.645346764,686951.334518957,2796319.6702985,345306.613035486
"Service exports (BoP, current US$)",173826552.750426,280026961.899205,265804674.204323,414492695.966568,475350971.205305,412605570.792328,525696516.883121,598620283.468875,554681602.999668,627421096.28912,686231496.910294,814695672.802063,928249052.138224,586179110.001473,999018554.773548,877885615.445822
"Goods exports (BoP, current US$)",1309458635.56791,1146973877.11709,1071605402.312,1261996023.73545,1827466854.92048,2069914413.71346,2646640883.71222,2922134922.59501,3140432824.15607,3063227003.46052,3922915332.38774,3896755530.19769,4156518889.92629,3812929893.53917,3824144987.05584,3210565752.31116
"Insurance and financial services (% of service exports, BoP)",0.427994977281862,0.302115981850131,0.554958625417681,-0.00296523326907185,0.00354868430113294,0.0368089009410009,0.321204535075094,0.850830875359674,3.36989370216286,2.33700544182031,3.39949207427727,2.36244569627887,1.51969543464257,4.02028813550686,2.54114368552799,2.77215875186288
"Exports of goods and services (BoP, current US$)",1483285188.31833,1427000839.01629,1337410076.51633,1676488719.70202,2302817826.12579,2482519984.50579,3172337400.59535,3520755206.06388,3695114427.15573,3690648099.74964,4609146829.29803,4711451202.99975,5084767942.06452,4399109003.54063,4823163541.8294,4088451367.75698
"Primary income receipts (BoP, current US$)",128427619.665628,120938496.215397,110217639.541221,184833849.403294,217011593.820796,225393421.440037,256012855.308158,277254019.964413,324249593.189844,297409521.240092,319053392.364107,344677436.94752,349094236.87862,332027933.874626,373787574.977101,311423807.96872
"Communications, computer, etc. (% of service exports, BoP)",13.7435072768204,7.06624493842248,6.40187096843767,6.73395104770994,9.46622906615601,9.92194138578323,7.82371338038588,6.63065795730635,6.92135490498827,14.340002416211,24.3564352068907,30.5001617822167,27.1919230548725,30.0303552431927,41.1493251529805,36.0873729567952
"ICT service exports (% of service exports, BoP)",3.4920496309145,1.71004641025446,1.48864399594487,2.06420991698612,3.26109519333367,4.0711311271367,3.20691711399121,2.70544233543825,2.33730427165639,2.63317143439314,4.7658305759789,1.85767407655757,1.30687982232094,2.21840473667929,2.56786946222396,2.54230776356073
"ICT service exports (BoP, current US$)",6070109.49375265,4788591.00970199,3956885.32348348,8555999.33532501,15501647.6734411,16797713.8248265,16858651.5675805,16195326.5774874,12964596.8010034,16521073.0808414,32704630.5017485,15134390.3164802,12131099.5632798,13003825.1416972,25653492.3899811,22318554.156662
"Technical cooperation grants (BoP, current US$)",46060000,47780000,49000000,63630000,68000000,54960000,77200000,34910000,40500000,43090000,44510000,46880000,49660000,43270000,38380000,36480000
"Grants, excluding technical cooperation (BoP, current US$)",68060000,52620000,63800000,67350000,74760000,58950000,81750000,179260000,155470000,213720000,196100000,190550000,236840000,253580000,234770000,116180000
"Net capital account (BoP, current US$)",112561010.398118,95664900.1693417,40524445.3065675,68184969.411778,77000442.4942762,79651112.659205,83377881.5332006,83402712.9346584,77200549.521862,207073830.608294,186933877.77965,284932191.126065,236396017.543731,302625378.47758,157053826.925409,106623332.909042
"Net secondary income (BoP, current US$)",436064701.092626,352302388.438443,274756082.096056,460270826.11826,669073002.364073,672985040.169271,946111610.357972,1000349589.33915,1130087667.36497,1165090004.04631,1154091314.26254,817565644.382555,1609431035.07505,1555216418.6898,1713058240.59223,1398463578.06604
"Reserves and related items (BoP, current US$)",-211825769.43347,-388164111.628639,-252154709.543245,-398054470.51401,-202105972.240639,-400516732.799179,-303459733.503997,-204704388.646792,-112914577.852457,305334537.662876,-522742037.062854,325367127.344502,6949076.28036961,64825139.2297675,-150365598.446319,699058103.43242
"Portfolio investment, net (BoP, current US$)",455725479.468627,439745834.736942,431781542.671671,635223566.298042,845395740.058107,1045554701.29337,1125834350.53489,1476631583.04468,1022046377.32044,740749701.449235,648340467.164185,54517426.4806961,282575898.468116,139473877.067382,354251470.634375,-1063045812.52777
"Foreign direct investment, net (BoP, current US$)",-184282056.885641,-381653453.519681,-179443646.546959,-157599677.355411,-246101741.216571,-403097362.226811,-403542706.729539,-718515017.5609,-742612032.78572,-772280955.747518,-282260530.88045,-798007604.697035,-1025827543.00271,-782768126.496004,-423706719.122711,-777649445.603553
"Net errors and omissions (BoP, current US$)",31577022.2965342,-17791880.8264607,21260725.8085348,-88778096.5518303,115414809.403944,127835212.56849,123363002.629524,484455187.092113,900233280.18084,252057025.770904,-294069047.916286,137624879.043962,-418359888.305118,22618083.6586927,34910864.7034353,94830559.5899351
"Net trade in goods (BoP, current US$)",-509207.48212862,-202036565.292592,-210892087.196526,-464040480.995405,-282820956.498353,-256265819.187401,102392445.841262,-179467783.816656,-959054237.980194,-1445802315.91083,-1250846543.08281,-1676931783.72455,-2281508963.31469,-2326757278.14925,-2932651270.16742,-3140346804.41221
"Net trade in goods and services (BoP, current US$)",-146740694.377722,-193985796.375888,-177044523.141041,-325859398.239093,-227659979.058086,-212436250.483771,199107464.926016,-93190240.2024732,-989662043.768806,-1367548839.28963,-1259875742.6323,-1540237379.07689,-1943129750.57163,-2480450516.29422,-2814692837.56825,-2943198947.16217
"Net primary income (BoP, current US$)",-97800548.9766023,-147776754.121761,-11857399.6161306,131281597.250114,4882582.04256462,-127172914.609094,-62856404.1731104,-158353590.873478,-149917410.599354,-98447648.7811672,-277159617.353834,-116666534.822179,-555933547.044805,-41523499.6080965,-69889346.5662882,-50530473.2493302
"Net financial account (BoP, current US$)",335661490.432952,88412857.2836742,147639330.453987,245099897.989227,638710857.24677,540862200.304101,1289103555.2736,1316663658.28996,967942042.699509,158224372.354712,-490079215.860234,-416781199.346482,-1071596133.30277,-641514135.076236,-979559251.913453,-1393811949.84649
Current account balance (% of GDP),4.9954035550191,0.303177969606702,2.62096493986345,5.52147454372568,6.88680837313447,4.6813302458354,13.814379639109,8.56672316574452,-0.111842795087677,-3.39004061461283,-3.39423425152851,-6.76360439939887,-6.83476959534484,-7.60161599509301,-9.16249644955656,-13.6924972671348
"Current account balance (BoP, current US$)",191523457.738299,10539837.9407933,85854159.3388844,265693025.129279,446295605.348551,333375875.076405,1082362671.11088,748805758.263194,-9491787.00319374,-300906484.024486,-382944045.723597,-839338269.516508,-889632262.541386,-966757597.212508,-1171523943.5423,-1595265842.34546
"Personal remittances, paid (current US$)",8662483.857411,7840079.55338585,8012240.6888528,14718444.7135492,17134910.9768934,18330334.6941265,19649429.6145795,15567874.948155,42405533.6541468,68067284.6326573,81760520.885485,112695181.28365,103284918.614364,83902896.4007208,131186549.031245,71439738.9842573
"Secondary income, other sectors, payments (BoP, current US$)",4197320.07953641,3663682.42677944,3668430.19263324,4174217.5362859,4838968.34249704,4849907.753895,4582474.36129108,4385841.72282409,3784371.86279032,33736481.3343949,40607428.6167613,252882760.62705,77924823.4347186,41796920.5129126,61590483.0259201,37509782.1427337
"Foreign direct investment, net outflows (% of GDP)",0.314781590995793,-0.066650908315105,-0.974087412812742,-1.92204707174302,-0.34782243025365,-0.145188078540099,2.63214375958944,-0.557446813506587,0.0843602751198867,0.715779441072222,0.0436809021527945,0.108685197183875,0.0843437509798277,0.0410846345480533,0.174257038374112,0.895398620763968
"Foreign direct investment, net outflows (BoP, current US$)",12068706.3769459,-2317087.13254853,-31907888.0749866,-92488790.2476302,-22540430.000843,-10339412.131205,206229611.810553,-48725676.761486,7159421.95776736,63533951.1926916,4928163.51249621,13487430.6567193,10978412.8007062,5225057.75136093,22280640.8613585,104319818.884791
"Travel services (% of service imports, BoP)",22.8433992722455,24.5918454998619,27.1700440065189,36.553451969431,29.2196267038601,29.3381630441103,27.5706082368439,25.8048696874075,19.5293412161602,6.3899422507568,5.10318754706956,6.76971856330131,8.092633576797,5.54616083981885,5.62264342423054,9.22512020464303
"Transport services (% of service imports, BoP)",28.3617628897712,30.2829409987585,31.5213754179474,22.1177574313826,32.250324892047,35.4442430482424,34.9180735581217,47.0451937041454,40.6781421249942,21.9848669043912,20.2954551884015,21.4361196791944,27.9859643630484,21.3981014773883,21.5580016566065,23.4554778935814
"Imports of goods, services and primary income (BoP, current US$)",1856254051.33828,1889701885.72934,1636529638.81472,2055900370.09429,2742606816.9621,3047522571.03869,3292099195.1506,4049553057.10424,5158943474.71374,5454054109.06053,6465235581.64828,6713032553.84634,7932925476.55958,7253110953.31758,8081533300.94103,7393604596.1372
"Charges for the use of intellectual property, payments (BoP, current US$)",8055999.47609006,0.371065271430225,1663615.54914746,3578522.78621582,3241378.29027167,1745714.29030075,3004599.11694471,1928214.24485201,15243361.8444634,6850862.17512882,5980160.24673696,8473753.52134736,6217145.12479082,7002941.61007202,8609619.5732313,7080686.52964525
"Service imports (BoP, current US$)",320058039.64602,271976192.982501,231957110.148838,276311613.210256,420189993.765038,368776002.088699,428981497.798367,512342739.854691,585289408.78828,549167619.667923,695260696.459794,678001268.154397,589869839.395167,739872348.146437,881060122.174374,680737758.195785
"Goods imports (BoP, current US$)",1309967843.05003,1349010442.40968,1282497489.50853,1726036504.73085,2110287811.41884,2326180232.90086,2544248437.87096,3101602706.41166,4099487062.13626,4509029319.37135,5173761875.47054,5573687313.92225,6438027853.24098,6139687171.68842,6756796257.22327,6350912556.72336
"Insurance and financial services (% of service imports, BoP)",6.2504255259202,5.8371765403821,5.64910201068959,8.27094268032388,4.94251536535071,5.12376839422458,5.24990637856858,5.99128269475534,3.15125086593411,6.06066253702432,6.75680725731495,6.27240166321342,4.35250329375004,3.28444553305348,2.73343652906221,3.93680890775886
